Kommun;Män;Kvinnor;;
 Upplands Väsby;21329;21332;;
 Vallentuna;16148;16232;;
 Österåker;21201;20929;;
 Värmdö;20771;20336;;
 Järfälla;36331;36098;;
 Ekerö;13568;13416;;
 Huddinge;53086;52225;;
 Botkyrka;45558;43867;;
 Salem;8108;8318;;
 Haninge;42437;41429;;
 Tyresö;23085;23092;;
 Upplands-Bro;12942;12847;;
 Nykvarn;5222;4970;;
 Täby;33847;34434;;
 Danderyd;15845;16576;;
 Sollentuna;34972;35279;;
 Stockholm;455177;468339;;
 Södertälje;47254;45948;;
 Nacka;48510;49476;;
 Sundbyberg;23152;22958;;
 Solna;37929;38229;;
 Lidingö;22490;23812;;
 Vaxholm;5638;5742;;
 Norrtälje;29519;29150;;
 Sigtuna;22618;22168;;
 Nynäshamn;13890;13610;;
 Håbo;10267;10012;;
 Älvkarleby;4760;4533;;
 Knivsta;8515;8354;;
 Heby;6959;6635;;
 Tierp;10388;10159;;
 Uppsala;103581;106545;;
 Enköping;21140;20753;;
 Östhammar;11071;10492;;
 Vingåker;4579;4374;;
 Gnesta;5353;5296;;
 Nyköping;26806;27456;;
 Oxelösund;5947;5754;;
 Flen;8421;8019;;
 Katrineholm;16727;16735;;
 Eskilstuna;50972;51093;;
 Strängnäs;17001;17101;;
 Trosa;6023;6055;;
 Ödeshög;2636;2600;;
 Ydre;1890;1768;;
 Kinda;4924;4871;;
 Boxholm;2719;2609;;
 Åtvidaberg;5838;5707;;
 Finspång;10797;10402;;
 Valdemarsvik;3978;3769;;
 Linköping;77450;75516;;
 Norrköping;68160;68875;;
 Söderköping;7167;7073;;
 Motala;21678;21225;;
 Vadstena;3650;3757;;
 Mjölby;13426;13176;;
 Aneby;3337;3200;;
 Gnosjö;4897;4617;;
 Mullsjö;3580;3577;;
 Habo;5734;5580;;
 Gislaved;14830;14442;;
 Vaggeryd;6745;6627;;
 Jönköping;66323;66987;;
 Nässjö;15517;14934;;
 Värnamo;16856;16617;;
 Sävsjö;5757;5471;;
 Vetlanda;13682;13191;;
 Eksjö;8413;8377;;
 Tranås;9332;9214;;
 Uppvidinge;4847;4472;;
 Lessebo;4401;4115;;
 Tingsryd;6211;6049;;
 Alvesta;10015;9566;;
 Älmhult;8187;7981;;
 Markaryd;4991;4788;;
 Växjö;44330;43778;;
 Ljungby;14014;13624;;
 Högsby;3017;2840;;
 Torsås;3650;3293;;
 Mörbylånga;7256;7413;;
 Hultsfred;7159;6760;;
 Mönsterås;6670;6474;;
 Emmaboda;4654;4436;;
 Kalmar;32473;33231;;
 Nybro;10048;9706;;
 Oskarshamn;13383;13067;;
 Västervik;18035;18014;;
 Vimmerby;7882;7537;;
 Borgholm;5378;5303;;
 Gotland;28555;28836;;
 Olofström;6746;6424;;
 Karlskrona;33416;31964;;
 Ronneby;14610;14087;;
 Karlshamn;16032;15814;;
 Sölvesborg;8669;8491;;
 Svalöv;7115;6540;;
 Staffanstorp;11416;11703;;
 Burlöv;8741;8689;;
 Vellinge;17152;17515;;
 Östra Göinge;7254;6848;;
 Örkelljunga;5013;4818;;
 Bjuv;7613;7349;;
 Kävlinge;15053;15051;;
 Lomma;11637;11687;;
 Svedala;10278;10184;;
 Skurup;7573;7576;;
 Sjöbo;9457;9057;;
 Hörby;7528;7492;;
 Höör;7989;7981;;
 Tomelilla;6613;6519;;
 Bromölla;6341;6172;;
 Osby;6528;6426;;
 Perstorp;3721;3490;;
 Klippan;8599;8318;;
 Åstorp;7735;7458;;
 Båstad;7145;7228;;
 Malmö;158955;163619;;
 Lund;58086;58748;;
 Landskrona;21932;22029;;
 Helsingborg;67993;69916;;
 Höganäs;12641;12969;;
 Eslöv;16394;16044;;
 Ystad;14124;14861;;
 Trelleborg;21710;21649;;
 Kristianstad;40993;41517;;
 Simrishamn;9358;9707;;
 Ängelholm;19913;20819;;
 Hässleholm;25677;25371;;
 Hylte;5411;5103;;
 Halmstad;48151;48801;;
 Laholm;12237;11958;;
 Falkenberg;21584;21365;;
 Varberg;30496;30534;;
 Kungsbacka;39382;39762;;
 Härryda;18413;18238;;
 Partille;18553;18424;;
 Öckerö;6353;6329;;
 Stenungsund;12794;12714;;
 Tjörn;7815;7500;;
 Orust;7613;7397;;
 Sotenäs;4532;4474;;
 Munkedal;5282;4923;;
 Tanum;6315;6140;;
 Dals-Ed;2500;2299;;
 Färgelanda;3343;3152;;
 Ale;14682;14180;;
 Lerum;20146;20035;;
 Vårgårda;5635;5530;;
 Bollebygd;4433;4366;;
 Grästorp;2890;2754;;
 Essunga;2791;2799;;
 Karlsborg;3431;3333;;
 Gullspång;2665;2564;;
 Tranemo;5998;5621;;
 Bengtsfors;4978;4648;;
 Mellerud;4746;4423;;
 Lilla Edet;6832;6346;;
 Mark;16995;16911;;
 Svenljunga;5388;5118;;
 Herrljunga;4728;4621;;
 Vara;8012;7650;;
 Götene;6720;6440;;
 Tibro;5534;5446;;
 Töreboda;4778;4515;;
 Göteborg;272407;275783;;
 Mölndal;31570;31770;;
 Kungälv;21294;21436;;
 Lysekil;7217;7247;;
 Uddevalla;26914;27266;;
 Strömstad;6512;6342;;
 Vänersborg;19248;19133;;
 Trollhättan;28652;28440;;
 Alingsås;19689;19913;;
 Borås;53751;54737;;
 Ulricehamn;11902;11592;;
 Åmål;6325;6276;;
 Mariestad;12090;11953;;
 Lidköping;19467;19542;;
 Skara;9358;9353;;
 Skövde;27131;26424;;
 Hjo;4497;4486;;
 Tidaholm;6403;6266;;
 Falköping;16340;16171;;
 Kil;5919;5883;;
 Eda;4351;4154;;
 Torsby;6051;5859;;
 Storfors;2101;1931;;
 Hammarö;7700;7720;;
 Munkfors;1845;1818;;
 Forshaga;5777;5602;;
 Grums;4498;4447;;
 Årjäng;5041;4828;;
 Sunne;6730;6478;;
 Karlstad;43913;45332;;
 Kristinehamn;12144;12126;;
 Filipstad;5429;5196;;
 Hagfors;6117;5707;;
 Arvika;12894;12947;;
 Säffle;7740;7626;;
 Lekeberg;3887;3605;;
 Laxå;2922;2734;;
 Hallsberg;7981;7528;;
 Degerfors;4887;4656;;
 Hällefors;3609;3423;;
 Ljusnarsberg;2590;2338;;
 Örebro;71038;73162;;
 Kumla;10595;10559;;
 Askersund;5662;5489;;
 Karlskoga;15095;15188;;
 Nora;5212;5290;;
 Lindesberg;11941;11621;;
 Skinnskatteberg;2306;2166;;
 Surahammar;5143;4842;;
 Kungsör;4245;4098;;
 Hallstahammar;7785;7860;;
 Norberg;2992;2811;;
 Västerås;72432;72786;;
 Sala;11052;11057;;
 Fagersta;6767;6519;;
 Köping;12837;12720;;
 Arboga;7007;6851;;
 Vansbro;3441;3274;;
 Malung-Sälen;5161;4875;;
 Gagnef;5137;4942;;
 Leksand;7689;7637;;
 Rättvik;5391;5368;;
 Orsa;3465;3285;;
 Älvdalen;3638;3397;;
 Smedjebacken;5539;5251;;
 Mora;10133;9968;;
 Falun;28250;28812;;
 Borlänge;25656;25332;;
 Säter;5621;5388;;
 Hedemora;7660;7575;;
 Avesta;11576;11205;;
 Ludvika;13354;13008;;
 Ockelbo;3003;2846;;
 Hofors;4863;4572;;
 Ovanåker;5875;5594;;
 Nordanstig;4925;4565;;
 Ljusdal;9623;9404;;
 Gävle;49073;49804;;
 Sandviken;19380;18934;;
 Söderhamn;13009;12776;;
 Bollnäs;13337;13257;;
 Hudiksvall;18446;18529;;
 Ånge;4887;4606;;
 Timrå;9124;8863;;
 Härnösand;12503;12563;;
 Sundsvall;48788;48845;;
 Kramfors;9399;8960;;
 Sollefteå;9968;9815;;
 Örnsköldsvik;27985;27591;;
 Ragunda;2772;2615;;
 Bräcke;3393;3062;;
 Krokom;7609;7176;;
 Strömsund;6084;5628;;
 Åre;5521;5156;;
 Berg;3648;3384;;
 Härjedalen;5352;4910;;
 Östersund;29806;31260;;
 Nordmaling;3647;3413;;
 Bjurholm;1267;1186;;
 Vindeln;2710;2661;;
 Robertsfors;3475;3296;;
 Norsjö;2168;2008;;
 Malå;1571;1538;;
 Storuman;3012;2931;;
 Sorsele;1339;1177;;
 Dorotea;1445;1295;;
 Vännäs;4379;4214;;
 Vilhelmina;3486;3343;;
 Åsele;1467;1365;;
 Umeå;60440;60337;;
 Lycksele;6109;6068;;
 Skellefteå;36415;35616;;
 Arvidsjaur;3293;3178;;
 Arjeplog;1505;1382;;
 Jokkmokk;2596;2476;;
 Överkalix;1779;1616;;
 Kalix;8335;7913;;
 Övertorneå;2447;2156;;
 Pajala;3244;2949;;
 Gällivare;9363;8760;;
 Älvsbyn;4202;3981;;
 Luleå;38576;37512;;
 Piteå;20872;20676;;
 Boden;14158;13755;;
 Haparanda;5040;4791;;
