Kommuner;Kön;Värde
 Upplands Väsby;Män;21329
 Vallentuna;Män;16148
 Österåker;Män;21201
 Värmdö;Män;20771
 Järfälla;Män;36331
 Ekerö;Män;13568
 Huddinge;Män;53086
 Botkyrka;Män;45558
 Salem;Män;8108
 Haninge;Män;42437
 Tyresö;Män;23085
 Upplands-Bro;Män;12942
 Nykvarn;Män;5222
 Täby;Män;33847
 Danderyd;Män;15845
 Sollentuna;Män;34972
 Stockholm;Män;455177
 Södertälje;Män;47254
 Nacka;Män;48510
 Sundbyberg;Män;23152
 Solna;Män;37929
 Lidingö;Män;22490
 Vaxholm;Män;5638
 Norrtälje;Män;29519
 Sigtuna;Män;22618
 Nynäshamn;Män;13890
 Håbo;Män;10267
 Älvkarleby;Män;4760
 Knivsta;Män;8515
 Heby;Män;6959
 Tierp;Män;10388
 Uppsala;Män;103581
 Enköping;Män;21140
 Östhammar;Män;11071
 Vingåker;Män;4579
 Gnesta;Män;5353
 Nyköping;Män;26806
 Oxelösund;Män;5947
 Flen;Män;8421
 Katrineholm;Män;16727
 Eskilstuna;Män;50972
 Strängnäs;Män;17001
 Trosa;Män;6023
 Ödeshög;Män;2636
 Ydre;Män;1890
 Kinda;Män;4924
 Boxholm;Män;2719
 Åtvidaberg;Män;5838
 Finspång;Män;10797
 Valdemarsvik;Män;3978
 Linköping;Män;77450
 Norrköping;Män;68160
 Söderköping;Män;7167
 Motala;Män;21678
 Vadstena;Män;3650
 Mjölby;Män;13426
 Aneby;Män;3337
 Gnosjö;Män;4897
 Mullsjö;Män;3580
 Habo;Män;5734
 Gislaved;Män;14830
 Vaggeryd;Män;6745
 Jönköping;Män;66323
 Nässjö;Män;15517
 Värnamo;Män;16856
 Sävsjö;Män;5757
 Vetlanda;Män;13682
 Eksjö;Män;8413
 Tranås;Män;9332
 Uppvidinge;Män;4847
 Lessebo;Män;4401
 Tingsryd;Män;6211
 Alvesta;Män;10015
 Älmhult;Män;8187
 Markaryd;Män;4991
 Växjö;Män;44330
 Ljungby;Män;14014
 Högsby;Män;3017
 Torsås;Män;3650
 Mörbylånga;Män;7256
 Hultsfred;Män;7159
 Mönsterås;Män;6670
 Emmaboda;Män;4654
 Kalmar;Män;32473
 Nybro;Män;10048
 Oskarshamn;Män;13383
 Västervik;Män;18035
 Vimmerby;Män;7882
 Borgholm;Män;5378
 Gotland;Män;28555
 Olofström;Män;6746
 Karlskrona;Män;33416
 Ronneby;Män;14610
 Karlshamn;Män;16032
 Sölvesborg;Män;8669
 Svalöv;Män;7115
 Staffanstorp;Män;11416
 Burlöv;Män;8741
 Vellinge;Män;17152
 Östra Göinge;Män;7254
 Örkelljunga;Män;5013
 Bjuv;Män;7613
 Kävlinge;Män;15053
 Lomma;Män;11637
 Svedala;Män;10278
 Skurup;Män;7573
