Period;Riket;Period1
1;17482;2013M01
2;19143;2013M02
3;24131;2013M03
4;26642;2013M04
5;28575;2013M05
6;25289;2013M06
7;20600;2013M07
8;23807;2013M08
9;25927;2013M09
10;27101;2013M10
11;26235;2013M11
12;27246;2013M12
13;20334;2014M01
14;22650;2014M02
15;29520;2014M03
16;29917;2014M04
17;29899;2014M05
18;30833;2014M06
19;22785;2014M07
20;25599;2014M08
21;27771;2014M09
22;29586;2014M10
23;26999;2014M11
24;28081;2014M12
25;21299;2015M01
26;24847;2015M02
27;33518;2015M03
28;32047;2015M04
29;31335;2015M05
30;34414;2015M06
31;26242;2015M07
32;27821;2015M08
33;31061;2015M09
34;32675;2015M10
35;32380;2015M11
36;34293;2015M12
