Kommun;Män;Kvinnor;;;;;;;
 Upplands Väsby;4378;5359;;;;;;;
 Vallentuna;3623;4504;;;;;;;
 Österåker;4526;5720;;;;;;;
 Värmdö;4445;5577;;;;;;;
 Järfälla;8694;10105;;;;;;;
 Ekerö;3297;4235;;;;;;;
 Huddinge;12722;14784;;;;;;;
 Botkyrka;8478;10039;;;;;;;
 Salem;1727;2253;;;;;;;
 Haninge;7214;8849;;;;;;;
 Tyresö;4931;6140;;;;;;;
 Upplands-Bro;2537;3109;;;;;;;
 Nykvarn;795;1141;;;;;;;
 Täby;11583;12630;;;;;;;
 Danderyd;6546;6931;;;;;;;
 Sollentuna;11038;12334;;;;;;;
 Stockholm;165253;188127;;;;;;;
 Södertälje;8837;10433;;;;;;;
 Nacka;15054;17709;;;;;;;
 Sundbyberg;6630;7586;;;;;;;
 Solna;14812;15876;;;;;;;
 Lidingö;8041;9131;;;;;;;
 Vaxholm;1640;1951;;;;;;;
 Norrtälje;4135;6040;;;;;;;
 Sigtuna;4382;5111;;;;;;;
 Nynäshamn;2171;2891;;;;;;;
 Håbo;1642;2177;;;;;;;
 Älvkarleby;558;836;;;;;;;
 Knivsta;2062;2568;;;;;;;
 Heby;678;1116;;;;;;;
 Tierp;1062;1849;;;;;;;
 Uppsala;36530;43019;;;;;;;
 Enköping;3474;4682;;;;;;;
 Östhammar;1363;1971;;;;;;;
 Vingåker;448;699;;;;;;;
 Gnesta;856;1195;;;;;;;
 Nyköping;4746;6467;;;;;;;
 Oxelösund;794;1029;;;;;;;
 Flen;1049;1431;;;;;;;
 Katrineholm;2297;3439;;;;;;;
 Eskilstuna;9363;11952;;;;;;;
 Strängnäs;3199;4351;;;;;;;
 Trosa;1018;1366;;;;;;;
 Ödeshög;308;464;;;;;;;
 Ydre;241;405;;;;;;;
 Kinda;687;969;;;;;;;
 Boxholm;295;450;;;;;;;
 Åtvidaberg;760;1044;;;;;;;
 Finspång;1517;2087;;;;;;;
 Valdemarsvik;455;624;;;;;;;
 Linköping;25713;25688;;;;;;;
 Norrköping;13795;17064;;;;;;;
 Söderköping;1139;1741;;;;;;;
 Motala;3209;4299;;;;;;;
 Vadstena;643;887;;;;;;;
 Mjölby;2032;2706;;;;;;;
 Aneby;451;641;;;;;;;
 Gnosjö;485;713;;;;;;;
 Mullsjö;524;758;;;;;;;
 Habo;944;1416;;;;;;;
 Gislaved;1575;2294;;;;;;;
 Vaggeryd;877;1291;;;;;;;
 Jönköping;15412;19146;;;;;;;
 Nässjö;2152;3008;;;;;;;
 Värnamo;2516;3452;;;;;;;
 Sävsjö;684;1041;;;;;;;
 Vetlanda;1763;2474;;;;;;;
 Eksjö;1545;1953;;;;;;;
 Tranås;1319;1761;;;;;;;
 Uppvidinge;495;760;;;;;;;
 Lessebo;541;775;;;;;;;
 Tingsryd;707;1099;;;;;;;
 Alvesta;1390;1855;;;;;;;
 Älmhult;1360;1781;;;;;;;
 Markaryd;508;723;;;;;;;
 Växjö;11456;13672;;;;;;;
 Ljungby;2009;2869;;;;;;;
 Högsby;338;452;;;;;;;
 Torsås;429;663;;;;;;;
 Mörbylånga;1381;1993;;;;;;;
 Hultsfred;764;1171;;;;;;;
 Mönsterås;882;1218;;;;;;;
 Emmaboda;642;819;;;;;;;
 Kalmar;7993;10035;;;;;;;
 Nybro;1338;1888;;;;;;;
 Oskarshamn;2138;2734;;;;;;;
 Västervik;2754;3988;;;;;;;
 Vimmerby;871;1398;;;;;;;
 Borgholm;778;1176;;;;;;;
 Gotland;5111;6972;;;;;;;
 Olofström;815;1143;;;;;;;
 Karlskrona;8499;8922;;;;;;;
 Ronneby;2516;2999;;;;;;;
 Karlshamn;2850;3759;;;;;;;
 Sölvesborg;1204;1891;;;;;;;
 Svalöv;1056;1455;;;;;;;
 Staffanstorp;2770;3489;;;;;;;
 Burlöv;1638;1960;;;;;;;
